Date,Time,SpotPrice,Expiry,StraddleValue,ATM,ATM-500 IV,ATM-450 IV,ATM-400 IV,ATM-350 IV,ATM-300 IV,ATM-250 IV,ATM-200 IV,ATM-150 IV,ATM-100 IV,ATM-50 IV,ATM IV,ATM+50 IV,ATM+100 IV,ATM+150 IV,ATM+200 IV,ATM+250 IV,ATM+300 IV,ATM+350 IV,ATM+400 IV,ATM+450 IV,ATM+500 IV,
23-07-2024,09:15:00,24576.35,25-07-2024,411,24600,28.8,28.34,27.92,27.55,27.21,26.91,26.73,26.65,26.44,26.44,26.53,26.64,26.65,26.92,27.03,27.26,27.36,27.58,27.8,28,28.18,
23-07-2024,09:16:00,24564.85,25-07-2024,407.1,24550,29.76,29.18,28.64,28.18,27.7,27.34,27.06,26.82,26.61,26.45,26.42,26.51,26.53,26.71,26.84,27.02,27.25,27.3,27.52,27.76,28.01,
23-07-2024,09:17:00,24564.9,25-07-2024,413.45,24550,30.25,29.67,29.11,28.59,28.25,27.91,27.54,27.26,27.06,26.95,26.83,26.87,26.93,27.08,27.14,27.28,27.46,27.59,27.77,27.93,28.16,
23-07-2024,09:18:00,24560.15,25-07-2024,416.6,24550,30.4,29.78,29.23,28.73,28.36,28.03,27.64,27.45,27.21,27.11,27.04,27.08,27.09,27.24,27.34,27.47,27.61,27.76,27.96,28.1,28.38,
23-07-2024,09:19:00,24547.75,25-07-2024,414,24550,30.02,29.47,28.93,28.44,28.14,27.77,27.51,27.23,27.03,26.92,26.86,26.94,26.94,27.1,27.16,27.29,27.51,27.59,27.83,27.96,28.22,
23-07-2024,09:20:00,24533.2,25-07-2024,409.95,24550,29.93,29.34,28.81,28.34,27.94,27.57,27.31,27.04,26.88,26.69,26.57,26.66,26.71,26.97,26.88,26.95,27.12,27.31,27.51,27.56,27.83,
23-07-2024,09:21:00,24540.2,25-07-2024,411.95000000000005,24550,29.99,29.39,28.86,28.37,28.07,27.67,27.36,27.26,26.98,26.82,26.74,26.79,26.83,26.93,27.06,27.1,27.3,27.44,27.55,27.69,27.89,
23-07-2024,09:22:00,24525.9,25-07-2024,418.85,24550,30.19,29.67,29.14,28.67,28.33,28.05,27.77,27.4,27.36,27.22,27.15,27.14,27.25,27.36,27.42,27.49,27.63,27.75,27.89,28.05,28.26,
23-07-2024,09:23:00,24538.4,25-07-2024,417.5,24550,30.15,29.59,29.06,28.6,28.31,28.02,27.68,27.42,27.3,27.17,27.1,27.11,27.18,27.28,27.42,27.47,27.63,27.76,27.93,28.05,28.26,
23-07-2024,09:24:00,24524.2,25-07-2024,424.6,24500,31.26,30.7,30.16,29.69,29.15,28.89,28.51,28.15,28.01,27.89,27.64,27.55,27.72,27.71,27.81,27.87,27.94,28.09,28.22,28.35,28.48,
